#------------------------------------------------------------------
# HARP 2007 data for Ta
#θ min θ max p min p max d^2\sig(pi-) / (dpdθ)
# (rad) (rad) (GeV/c) (GeV/c) [b/(rad GeV/c)]
#------------------------------------------------------------------
#                    3 GeV/c     5 GeV/c    8 GeV/c  12 GeV/c
#------------------------------------------------------------------
# tmin tmax pmin pmax  x3    ex3   x5  ex5   x8   ex8  x12 ex12
0.35 0.55 0.15 0.20 0.31  0.13  0.64 0.23 1.33 0.32 1.71 0.42
0.35 0.55 0.20 0.25 0.31  0.11  0.99 0.14 1.71 0.18 1.87 0.26
0.35 0.55 0.25 0.30 0.30  0.09  0.99 0.11 1.72 0.12 2.32 0.22
0.35 0.55 0.30 0.35 0.53  0.08  0.85 0.08 1.74 0.13 2.08 0.14
0.35 0.55 0.35 0.40 0.48  0.07  0.85 0.07 1.65 0.10 2.12 0.14
0.35 0.55 0.40 0.45 0.34  0.05  0.76 0.06 1.50 0.08 1.87 0.11
0.35 0.55 0.45 0.50 0.28  0.04  0.70 0.05 1.39 0.07 1.58 0.09
0.35 0.55 0.50 0.60 0.24  0.04  0.77 0.06 1.23 0.07 1.56 0.10
0.35 0.55 0.60 0.70 0.23  0.04  0.65 0.07 1.12 0.09 1.39 0.13
0.35 0.55 0.70 0.80 0.20  0.05  0.48 0.07 0.91 0.11 1.18 0.16
0.55 0.75 0.10 0.15 0.45  0.18  0.82 0.28 1.17 0.39 1.43 0.53
0.55 0.75 0.15 0.20 0.58  0.10  1.28 0.18 1.67 0.20 2.12 0.25
0.55 0.75 0.20 0.25 0.40  0.07  1.11 0.10 2.02 0.16 2.49 0.19
0.55 0.75 0.25 0.30 0.46  0.09  1.17 0.10 1.83 0.12 2.39 0.17
0.55 0.75 0.30 0.35 0.37  0.06  0.88 0.07 1.56 0.10 2.13 0.13
0.55 0.75 0.35 0.40 0.31  0.04  0.85 0.07 1.43 0.08 1.82 0.09
0.55 0.75 0.40 0.45 0.31  0.05  0.78 0.06 1.34 0.07 1.57 0.08
0.55 0.75 0.45 0.50 0.27  0.04  0.61 0.05 1.14 0.06 1.48 0.07
0.55 0.75 0.50 0.60 0.26  0.04  0.50 0.04 1.00 0.05 1.29 0.07
0.55 0.75 0.60 0.70 0.16  0.04  0.43 0.04 0.84 0.07 1.12 0.10
0.55 0.75 0.70 0.80 0.086 0.027 0.36 0.05 0.67 0.08 0.96 0.13

0.75 0.95 0.10 0.15 0.50  0.16  1.08 0.22 1.32 0.32 1.74 0.41
0.75 0.95 0.15 0.20 0.60  0.08  1.25 0.13 2.00 0.13 2.26 0.16
0.75 0.95 0.20 0.25 0.57  0.08  1.14 0.09 1.93 0.13 2.39 0.17
0.75 0.95 0.25 0.30 0.61  0.07  0.94 0.07 1.67 0.09 2.27 0.13
0.75 0.95 0.30 0.35 0.32  0.05  0.84 0.07 1.34 0.07 1.85 0.11
0.75 0.95 0.35 0.40 0.33  0.04  0.74 0.05 1.19 0.06 1.46 0.09
0.75 0.95 0.40 0.45 0.25  0.04  0.57 0.04 0.98 0.06 1.31 0.07
0.75 0.95 0.45 0.50 0.182 0.028 0.52 0.04 0.88 0.06 1.24 0.06
0.75 0.95 0.50 0.60 0.136 0.024 0.46 0.04 0.71 0.04 1.02 0.06
0.75 0.95 0.60 0.70 0.080 0.018 0.31 0.04 0.54 0.05 0.72 0.08

0.95 1.15 0.10 0.15 0.71  0.14  1.27  0.21  1.76  0.29  2.00 0.36
0.95 1.15 0.15 0.20 0.64  0.07  1.23  0.09  2.04  0.14  2.20 0.14
0.95 1.15 0.20 0.25 0.54  0.07  1.07  0.08  1.75  0.13  2.02 0.13
0.95 1.15 0.25 0.30 0.53  0.07  0.83  0.06  1.41  0.10  1.69 0.10
0.95 1.15 0.30 0.35 0.32  0.05  0.74  0.06  1.09  0.07  1.41 0.08
0.95 1.15 0.35 0.40 0.37  0.05  0.51  0.05  0.96  0.05  1.12 0.06
0.95 1.15 0.40 0.45 0.25  0.05  0.376 0.029 0.78  0.05  0.93 0.06
0.95 1.15 0.45 0.50 0.143 0.026 0.328 0.026 0.61  0.04  0.75 0.05
0.95 1.15 0.50 0.60 0.098 0.019 0.264 0.025 0.443 0.033 0.55 0.05

1.15 1.35 0.10 0.15 0.67  0.13  1.15  0.21  2.09  0.36  2.55 0.43
1.15 1.35 0.15 0.20 0.58  0.07  1.14  0.10  2.00  0.14  2.31 0.19
1.15 1.35 0.20 0.25 0.46  0.05  0.96  0.07  1.59  0.10  1.84 0.12
1.15 1.35 0.25 0.30 0.26  0.04  0.67  0.06  1.21  0.08  1.48 0.09
1.15 1.35 0.30 0.35 0.160 0.025 0.56  0.05  0.87  0.06  1.09 0.07
1.15 1.35 0.35 0.40 0.168 0.027 0.42  0.04  0.68  0.04  0.83 0.05
1.15 1.35 0.40 0.45 0.141 0.025 0.293 0.026 0.530 0.031 0.74 0.05
1.15 1.35 0.45 0.50 0.085 0.018 0.227 0.021 0.432 0.030 0.57 0.05

1.35 1.55 0.10 0.15 0.55  0.13  1.18  0.21  2.29  0.54  2.92  0.64
1.35 1.55 0.15 0.20 0.53  0.07 	1.04  0.12  1.82  0.17 	2.29  0.24
1.35 1.55 0.20 0.25 0.34  0.05 	0.76  0.08  1.24  0.11 	1.79  0.13
1.35 1.55 0.25 0.30 0.31  0.04 	0.58  0.06  0.80  0.07 	1.20  0.10
1.35 1.55 0.30 0.35 0.224 0.035 0.40  0.04  0.55  0.04 	0.78  0.07
1.35 1.55 0.35 0.40 0.144 0.026 0.282 0.028 0.452 0.033 0.60  0.05
1.35 1.55 0.40 0.45 0.081 0.019 0.206 0.022 0.334 0.025 0.48  0.04
1.35 1.55 0.45 0.50 0.052 0.012 0.135 0.016 0.265 0.021 0.373 0.031

1.55 1.75 0.10 0.15 0.60  0.15  1.23  0.27  1.64  0.35  2.50  0.53
1.55 1.75 0.15 0.20 0.51  0.08  1.09  0.11  1.55  0.16  2.12  0.22
1.55 1.75 0.20 0.25 0.31  0.04  0.70  0.07  1.10  0.08  1.52  0.11
1.55 1.75 0.25 0.30 0.185 0.032 0.45  0.05  0.63  0.06  0.95  0.08
1.55 1.75 0.30 0.35 0.134 0.025 0.295 0.032 0.403 0.033 0.59  0.06
1.55 1.75 0.35 0.40 0.103 0.022 0.212 0.024 0.292 0.025 0.429 0.033
