#------------------------------------------------------------------
# HARP 2007 Ta data
# θ min θ max p min p max d 2 σ π + / (dpdθ)
# (rad) (rad) (GeV/c) (GeV/c) [b/(rad GeV/c)]
#------------------------------------------------------------------
#                     3 GeV/c     5 GeV/c      8 GeV/c    12 GeV/c
#------------------------------------------------------------------
# tmin tmax pmin pmax  x3    ex3   x5   ex5    x8   ex8   x12   ex12
0.35 0.55 0.15 0.20 0.10  0.08  0.68  0.22  1.19  0.28  1.22  0.37
0.35 0.55 0.20 0.25 0.43  0.10  0.86  0.15  1.56  0.17  1.87  0.24
0.35 0.55 0.25 0.30 0.49  0.08  1.09  0.13  1.78  0.15  2.20  0.22
0.35 0.55 0.30 0.35 0.43  0.07  1.34  0.11  2.14  0.19  2.37  0.14
0.35 0.55 0.35 0.40 0.57  0.07  1.14  0.07  2.02  0.12  2.61  0.18
0.35 0.55 0.40 0.45 0.63  0.07  1.18  0.09  1.88  0.12  2.39  0.12
0.35 0.55 0.45 0.50 0.62  0.07  1.20  0.08  1.93  0.15  2.37  0.12
0.35 0.55 0.50 0.60 0.48  0.06  1.14  0.07  1.89  0.12  2.25  0.14
0.35 0.55 0.60 0.70 0.24  0.05  0.95  0.11  1.60  0.17  1.98  0.21
0.35 0.55 0.70 0.80 0.15  0.04  0.54  0.11  1.08  0.18  1.46  0.22
0.55 0.75 0.10 0.15 0.35  0.16  0.51  0.22  0.97  0.34  0.89  0.37
0.55 0.75 0.15 0.20 0.48  0.12  1.02  0.18  1.76  0.18  1.83  0.29
0.55 0.75 0.20 0.25 0.67  0.09  1.31  0.13  2.05  0.17  2.80  0.22
0.55 0.75 0.25 0.30 0.71  0.11  1.14  0.09  1.94  0.11  2.46  0.14
0.55 0.75 0.30 0.35 0.65  0.10  1.25  0.11  1.95  0.12  2.54  0.16
0.55 0.75 0.35 0.40 0.56  0.06  1.20  0.08  1.75  0.12  2.58  0.15
0.55 0.75 0.40 0.45 0.49  0.05  1.07  0.07  1.70  0.10  2.39  0.14
0.55 0.75 0.45 0.50 0.45  0.05  0.99  0.07  1.56  0.09  2.17  0.13
0.55 0.75 0.50 0.60 0.30  0.04  0.78  0.07  1.34  0.11  1.66  0.12
0.55 0.75 0.60 0.70 0.18  0.04  0.47  0.07  0.88  0.12  1.19  0.13
0.55 0.75 0.70 0.80 0.086 0.023 0.29  0.06  0.54  0.10  0.82  0.14
0.75 0.95 0.10 0.15 0.60  0.15  0.80  0.19  1.02  0.27  1.03  0.30
0.75 0.95 0.15 0.20 0.76  0.11  1.34  0.13  1.99  0.14  2.22  0.21
0.75 0.95 0.20 0.25 0.80  0.09  1.58  0.13  2.08  0.11  2.30  0.14
0.75 0.95 0.25 0.30 0.61  0.07  1.29  0.10  1.92  0.11  2.28  0.17
0.75 0.95 0.30 0.35 0.57  0.06  1.09  0.09  1.75  0.09  2.05  0.12
0.75 0.95 0.35 0.40 0.48  0.06  1.02  0.07  1.47  0.08  1.72  0.12
0.75 0.95 0.40 0.45 0.43  0.05  0.82  0.05  1.24  0.08  1.61  0.09
0.75 0.95 0.45 0.50 0.32  0.04  0.68  0.05  1.09  0.06  1.37  0.08
0.75 0.95 0.50 0.60 0.160 0.034 0.45  0.05  0.80  0.07  1.03  0.08
0.75 0.95 0.60 0.70 0.061 0.018 0.25  0.04  0.48  0.07  0.66  0.09
0.95 1.15 0.10 0.15 0.55  0.14  0.98  0.19  1.24  0.26  1.46  0.31
0.95 1.15 0.15 0.20 0.85  0.08  1.49  0.11  2.08  0.14  2.44  0.20
0.95 1.15 0.20 0.25 0.78  0.08  1.37  0.09  1.86  0.12  2.47  0.12
0.95 1.15 0.25 0.30 0.61  0.06  1.05  0.08  1.66  0.10  1.88  0.11
0.95 1.15 0.30 0.35 0.45  0.06  0.77  0.05  1.32  0.08  1.59  0.10
0.95 1.15 0.35 0.40 0.34  0.04  0.71  0.05  1.02  0.07  1.26  0.08
0.95 1.15 0.40 0.45 0.27  0.04  0.55  0.04  0.80  0.05  0.99  0.06
0.95 1.15 0.45 0.50 0.16  0.04  0.41  0.04  0.62  0.04  0.78  0.06
0.95 1.15 0.50 0.60 0.073 0.019 0.22  0.04  0.38  0.04  0.48  0.05
1.15 1.35 0.10 0.15 0.45  0.13  1.05  0.21  1.52  0.30  1.83  0.36
1.15 1.35 0.15 0.20 0.85  0.09  1.41  0.12  2.18  0.17  2.45  0.21
1.15 1.35 0.20 0.25 0.67  0.07  1.19  0.08  1.91  0.11  2.11  0.15
1.15 1.35 0.25 0.30 0.46  0.05  0.86  0.06  1.28  0.10  1.49  0.10
1.15 1.35 0.30 0.35 0.33  0.05  0.66  0.05  0.87  0.06  1.06  0.08
1.15 1.35 0.35 0.40 0.233 0.031 0.47  0.04  0.66  0.04  0.87  0.05
