41
tme,dndt
72.    ,0.
89.4794,0.00106243
104.955,0.00308482
114.908,0.00524255
124.861,0.00753519
134.818,0.0103675
143.668,0.0127951
154.733,0.0164367
164.696,0.0204832
172.445,0.0235854
183.509,0.0268223
194.564,0.0285752
204.519,0.0311377
214.468,0.0324860
224.417,0.0338343
233.258,0.0346430
246.510,0.0339674
255.338,0.0323478
263.059,0.0301887
275.203,0.0289736
287.337,0.0258697
293.960,0.0249248
304.991,0.0220909
314.922,0.0202014
325.955,0.0176373
334.782,0.0157479
344.710,0.0131839
354.644,0.0118340
364.578,0.0103492
373.407,0.00899945
384.445,0.00751459
394.381,0.00643454
403.214,0.00562439
414.256,0.00481407
426.401,0.00373384
436.337,0.00278870
458.426,0.00211241
500.394,0.000760005
541.263,0.000486947
583.237,0.000213801
645.095,0.
